Speaker,URL,Start,End
Kamala Harris,https://www.youtube.com/watch?v=o2jyU3c_xaQ,02:43.000,02:51.000
Kamala Harris,https://www.youtube.com/watch?v=o2jyU3c_xaQ,02:51.000,03:02.000
Kamala Harris,https://www.youtube.com/watch?v=o2jyU3c_xaQ,03:07.000,03:17.000
Kamala Harris,https://www.youtube.com/watch?v=_YnYHO4_98A,00:38.000,00:54.000
Kamala Harris,https://www.youtube.com/watch?v=_YnYHO4_98A,00:56.000,01:08.000
Kamala Harris,https://www.youtube.com/watch?v=_YnYHO4_98A,01:19.000,01:29.000
Kamala Harris,https://www.youtube.com/watch?v=_YnYHO4_98A,02:01.000,02:17.000
Kamala Harris,https://www.youtube.com/watch?v=2VdwMNexBHc,01:27.000,01:32.000
Kamala Harris,https://www.youtube.com/watch?v=2VdwMNexBHc,02:02.000,02:11.000
Kamala Harris,https://www.youtube.com/watch?v=2VdwMNexBHc,02:48.000,02:55.000
Kamala Harris,https://www.youtube.com/watch?v=2VdwMNexBHc,03:12.000,03:16.000
Kamala Harris,https://www.youtube.com/watch?v=ZESHRRVIRsA,00:02.000,00:20.000
Kamala Harris,https://www.youtube.com/watch?v=ZESHRRVIRsA,00:22.000,00:35.000
Hillary Clinton,https://www.youtube.com/watch?v=5qqqRpAzVRA,00:22.000,00:32.000
Hillary Clinton,https://www.youtube.com/watch?v=5qqqRpAzVRA,00:45.000,00:50.000
Hillary Clinton,https://www.youtube.com/watch?v=5qqqRpAzVRA,00:58.000,01:04.000
Hillary Clinton,https://www.youtube.com/watch?v=KALSsWDBCAc,02:28.000,02:37.000
Hillary Clinton,https://www.youtube.com/watch?v=KALSsWDBCAc,02:53.000,03:00.000
Hillary Clinton,https://www.youtube.com/watch?v=KALSsWDBCAc,04:26.000,04:29.000
Hillary Clinton,https://www.youtube.com/watch?v=KALSsWDBCAc,04:57.000,05:05.000
Hillary Clinton,https://www.youtube.com/watch?v=OJ-Sd9qFAC4,01:01.000,01:06.000
Hillary Clinton,https://www.youtube.com/watch?v=OJ-Sd9qFAC4,01:57.000,02:04.000
Hillary Clinton,https://www.youtube.com/watch?v=OJ-Sd9qFAC4,04:55.000,05:01.000
Hillary Clinton,https://www.youtube.com/watch?v=OJ-Sd9qFAC4,05:01.000,05:10.000
Halle Berry,https://www.youtube.com/watch?v=uuA-dCqF5BQ&list=PLZ2lDrDpOLrs9-GnqElQsdaZgOhSSi0sC&index=8,00:00.000,00:10.000
Halle Berry,https://www.youtube.com/watch?v=uuA-dCqF5BQ&list=PLZ2lDrDpOLrs9-GnqElQsdaZgOhSSi0sC&index=8,00:13.000,00:18.000
Halle Berry,https://www.youtube.com/watch?v=uuA-dCqF5BQ&list=PLZ2lDrDpOLrs9-GnqElQsdaZgOhSSi0sC&index=8,00:54.000,01:00.000
Halle Berry,https://www.youtube.com/watch?v=uuA-dCqF5BQ&list=PLZ2lDrDpOLrs9-GnqElQsdaZgOhSSi0sC&index=8,01:45.000,01:55.000
Halle Berry,https://www.youtube.com/watch?v=uuA-dCqF5BQ&list=PLZ2lDrDpOLrs9-GnqElQsdaZgOhSSi0sC&index=8,02:09.000,02:18.000
Halle Berry,https://www.youtube.com/watch?v=sgQPIuAWN7I,01:04.000,01:10.000
Halle Berry,https://www.youtube.com/watch?v=iTnG4ECENRM,00:45.000,00:51.000
Halle Berry,https://www.youtube.com/watch?v=iTnG4ECENRM,01:10.000,01:17.000
Halle Berry,https://www.youtube.com/watch?v=iTnG4ECENRM,02:22.000,02:28.000
Halle Berry,https://www.youtube.com/watch?v=_sTGnp7pew8,01:57.000,02:02.000
Halle Berry,https://www.youtube.com/watch?v=_sTGnp7pew8,10:12.000,10:21.000
Mahershala Ali,https://www.youtube.com/watch?v=7g0jQukm2ow&list=PLZ2lDrDpOLrs9-GnqElQsdaZgOhSSi0sC&index=7,00:00.000,00:06.000
Mahershala Ali,https://www.youtube.com/watch?v=7g0jQukm2ow&list=PLZ2lDrDpOLrs9-GnqElQsdaZgOhSSi0sC&index=7,00:44.000,00:47.000
Mahershala Ali,https://www.youtube.com/watch?v=7g0jQukm2ow&list=PLZ2lDrDpOLrs9-GnqElQsdaZgOhSSi0sC&index=7,00:54.000,00:57.000
Mahershala Ali,https://www.youtube.com/watch?v=7g0jQukm2ow&list=PLZ2lDrDpOLrs9-GnqElQsdaZgOhSSi0sC&index=7,01:45.000,01:50.000
Mahershala Ali,https://www.youtube.com/watch?v=TPLZdBNYaYg,01:58.000,02:03.000
Mahershala Ali,https://www.youtube.com/watch?v=TPLZdBNYaYg,02:24.000,02:36.000
Mahershala Ali,https://www.youtube.com/watch?v=TPLZdBNYaYg,10:15.000,10:24.000
Mahershala Ali,https://www.youtube.com/watch?v=TPLZdBNYaYg,18:24.000,18:28.000
Mahershala Ali,https://www.youtube.com/watch?v=RQhIGLHCt24,02:55.000,03:08.000
Mahershala Ali,https://www.youtube.com/watch?v=8kkag-jVdt8,04:21.000,04:32.000
Mahershala Ali,https://www.youtube.com/watch?v=8kkag-jVdt8,14:18.000,14:24.000
Jeremy Renner,https://www.youtube.com/watch?v=GqVj10Yz8i8&list=PLZ2lDrDpOLrs9-GnqElQsdaZgOhSSi0sC&index=10,00:00.000,00:05.000
Jeremy Renner,https://www.youtube.com/watch?v=GqVj10Yz8i8&list=PLZ2lDrDpOLrs9-GnqElQsdaZgOhSSi0sC&index=10,00:14.000,00:17.000
Jeremy Renner,https://www.youtube.com/watch?v=GqVj10Yz8i8&list=PLZ2lDrDpOLrs9-GnqElQsdaZgOhSSi0sC&index=10,00:30.000,00:38.000
Jeremy Renner,https://www.youtube.com/watch?v=GqVj10Yz8i8&list=PLZ2lDrDpOLrs9-GnqElQsdaZgOhSSi0sC&index=10,02:08.000,02:16.000
Jeremy Renner,https://www.youtube.com/watch?v=GqVj10Yz8i8&list=PLZ2lDrDpOLrs9-GnqElQsdaZgOhSSi0sC&index=10,07:25.000,07:30.000
Jeremy Renner,https://www.youtube.com/watch?v=OK6_bo69P38,00:33.000,00:38.000
Jeremy Renner,https://www.youtube.com/watch?v=OK6_bo69P38,02:21.000,02:30.000
Jeremy Renner,https://www.youtube.com/watch?v=OK6_bo69P38,02:34.000,02:40.000
Jeremy Renner,https://www.youtube.com/watch?v=3BC9Fz9iQ6I,10:17.000,10:24.000
Jeremy Renner,https://www.youtube.com/watch?v=3BC9Fz9iQ6I,16:11.000,16:20.000
Jeremy Renner,https://www.youtube.com/watch?v=3BC9Fz9iQ6I,21:32.000,21:39.000
Jodie Foster,https://www.youtube.com/watch?v=kQQrlGjeHIM&list=PLZ2lDrDpOLrs9-GnqElQsdaZgOhSSi0sC&index=81,00:46.000,00:52.000
Jodie Foster,https://www.youtube.com/watch?v=kQQrlGjeHIM&list=PLZ2lDrDpOLrs9-GnqElQsdaZgOhSSi0sC&index=81,00:58.000,01:04.000
Jodie Foster,https://www.youtube.com/watch?v=kQQrlGjeHIM&list=PLZ2lDrDpOLrs9-GnqElQsdaZgOhSSi0sC&index=81,01:17.000,01:25.000
Jodie Foster,https://www.youtube.com/watch?v=kQQrlGjeHIM&list=PLZ2lDrDpOLrs9-GnqElQsdaZgOhSSi0sC&index=81,01:44.000,01:48.000
Jodie Foster,https://www.youtube.com/watch?v=fXUsRIcwtSo,00:23.000,00:26.000
Jodie Foster,https://www.youtube.com/watch?v=fXUsRIcwtSo,00:33.000,00:37.000
Jodie Foster,https://www.youtube.com/watch?v=243NYLOn6WE,00:14.000,00:21.000
Jodie Foster,https://www.youtube.com/watch?v=243NYLOn6WE,00:28.000,00:30.000
Jodie Foster,https://www.youtube.com/watch?v=243NYLOn6WE,00:36.000,00:45.000
Jodie Foster,https://www.youtube.com/watch?v=243NYLOn6WE,01:02.000,01:07.000
Jodie Foster,https://www.youtube.com/watch?v=243NYLOn6WE,01:10.000,01:16.000
Jamie Lee Curtis,https://www.youtube.com/watch?v=SxbWww_WrFc&list=PLZ2lDrDpOLrs9-GnqElQsdaZgOhSSi0sC&index=53,00:00.000,00:08.000
Jamie Lee Curtis,https://www.youtube.com/watch?v=SxbWww_WrFc&list=PLZ2lDrDpOLrs9-GnqElQsdaZgOhSSi0sC&index=53,00:39.000,00:43.000
Jamie Lee Curtis,https://www.youtube.com/watch?v=SxbWww_WrFc&list=PLZ2lDrDpOLrs9-GnqElQsdaZgOhSSi0sC&index=53,01:40.000,01:44.000
Jamie Lee Curtis,https://www.youtube.com/watch?v=SxbWww_WrFc&list=PLZ2lDrDpOLrs9-GnqElQsdaZgOhSSi0sC&index=53,01:48.000,01:52.000
Jamie Lee Curtis,https://www.youtube.com/watch?v=__vJCc9gCEA,00:04.000,00:08.000
Jamie Lee Curtis,https://www.youtube.com/watch?v=__vJCc9gCEA,00:14.000,00:20.000
Jamie Lee Curtis,https://www.youtube.com/watch?v=__vJCc9gCEA,00:31.000,00:38.000
Jamie Lee Curtis,https://www.youtube.com/watch?v=__vJCc9gCEA,00:54.000,01:09.000
Jamie Lee Curtis,https://www.youtube.com/watch?v=U_4_ZQMSZuw,00:00.000,00:05.000
Jamie Lee Curtis,https://www.youtube.com/watch?v=U_4_ZQMSZuw,05:45.000,05:54.000
Scarlett Johansson,https://www.youtube.com/watch?v=clm6XaK2W9w&list=PLZ2lDrDpOLrs9-GnqElQsdaZgOhSSi0sC&index=54,00:40.000,00:46.000
Scarlett Johansson,https://www.youtube.com/watch?v=clm6XaK2W9w&list=PLZ2lDrDpOLrs9-GnqElQsdaZgOhSSi0sC&index=54,00:48.000,00:57.000
Scarlett Johansson,https://www.youtube.com/watch?v=clm6XaK2W9w&list=PLZ2lDrDpOLrs9-GnqElQsdaZgOhSSi0sC&index=54,00:59.000,01:08.000
Scarlett Johansson,https://www.youtube.com/watch?v=clm6XaK2W9w&list=PLZ2lDrDpOLrs9-GnqElQsdaZgOhSSi0sC&index=54,01:26.000,01:32.000
Scarlett Johansson,https://www.youtube.com/watch?v=XWokU7SGVaY,00:21.000,00:27.000
Scarlett Johansson,https://www.youtube.com/watch?v=XWokU7SGVaY,00:49.000,00:53.000
Scarlett Johansson,https://www.youtube.com/watch?v=XWokU7SGVaY,00:56.000,01:06.000
Scarlett Johansson,https://www.youtube.com/watch?v=GAxnqBFMYYU,00:41.000,00:50.000
Scarlett Johansson,https://www.youtube.com/watch?v=GAxnqBFMYYU,00:52.000,01:02.000
Scarlett Johansson,https://www.youtube.com/watch?v=GAxnqBFMYYU,02:26.000,02:34.000
Scarlett Johansson,https://www.youtube.com/watch?v=GAxnqBFMYYU,02:37.000,02:42.000
Harrison Ford,https://www.youtube.com/watch?v=XNN1Hbg9oNU&list=PLZ2lDrDpOLrs9-GnqElQsdaZgOhSSi0sC&index=46,00:09.000,00:20.000
Harrison Ford,https://www.youtube.com/watch?v=XNN1Hbg9oNU&list=PLZ2lDrDpOLrs9-GnqElQsdaZgOhSSi0sC&index=46,00:33.000,00:39.000
Harrison Ford,https://www.youtube.com/watch?v=XNN1Hbg9oNU&list=PLZ2lDrDpOLrs9-GnqElQsdaZgOhSSi0sC&index=46,00:45.000,00:55.000
Harrison Ford,https://www.youtube.com/watch?v=XNN1Hbg9oNU&list=PLZ2lDrDpOLrs9-GnqElQsdaZgOhSSi0sC&index=46,01:01.000,01:06.000
Harrison Ford,https://www.youtube.com/watch?v=XNN1Hbg9oNU&list=PLZ2lDrDpOLrs9-GnqElQsdaZgOhSSi0sC&index=46,04:38.000,04:44.000
Harrison Ford,https://www.youtube.com/watch?v=fzEM5UUnh6w,00:51.000,00:55.000
Harrison Ford,https://www.youtube.com/watch?v=fzEM5UUnh6w,01:04.000,01:10.000
Harrison Ford,https://www.youtube.com/watch?v=fzEM5UUnh6w,02:34.000,02:45.000
Harrison Ford,https://www.youtube.com/watch?v=1UrFbVLDVG4,02:10.000,02:15.000
Harrison Ford,https://www.youtube.com/watch?v=1UrFbVLDVG4,07:50.000,07:54.000
Harrison Ford,https://www.youtube.com/watch?v=u5wIuTTYqzI,01:04.000,01:08.000
Martin Freeman,https://www.youtube.com/watch?v=BpnF1HCQ0Zo&list=PLZ2lDrDpOLrs9-GnqElQsdaZgOhSSi0sC&index=44,00:52.000,00:56.000
Martin Freeman,https://www.youtube.com/watch?v=BpnF1HCQ0Zo&list=PLZ2lDrDpOLrs9-GnqElQsdaZgOhSSi0sC&index=44,00:56.000,01:03.000
Martin Freeman,https://www.youtube.com/watch?v=BpnF1HCQ0Zo&list=PLZ2lDrDpOLrs9-GnqElQsdaZgOhSSi0sC&index=44,01:08.000,01:15.000
Martin Freeman,https://www.youtube.com/watch?v=PFIKAGp8vxw,00:34.000,00:39.000
Martin Freeman,https://www.youtube.com/watch?v=PFIKAGp8vxw,01:11.000,01:13.000
Martin Freeman,https://www.youtube.com/watch?v=PFIKAGp8vxw,01:46.000,01:51.000
Anna Kendrick,https://www.youtube.com/watch?v=z5VfekpUpms&list=PLZ2lDrDpOLrs9-GnqElQsdaZgOhSSi0sC&index=39,00:49.000,00:57.000
Anna Kendrick,https://www.youtube.com/watch?v=z5VfekpUpms&list=PLZ2lDrDpOLrs9-GnqElQsdaZgOhSSi0sC&index=39,00:57.000,01:01.000
Anna Kendrick,https://www.youtube.com/watch?v=z5VfekpUpms&list=PLZ2lDrDpOLrs9-GnqElQsdaZgOhSSi0sC&index=39,01:12.000,01:19.000
Anna Kendrick,https://www.youtube.com/watch?v=z5VfekpUpms&list=PLZ2lDrDpOLrs9-GnqElQsdaZgOhSSi0sC&index=39,01:19.000,01:31.000
Anna Kendrick,https://www.youtube.com/watch?v=z5VfekpUpms&list=PLZ2lDrDpOLrs9-GnqElQsdaZgOhSSi0sC&index=39,01:32.000,01:40.000
Anna Kendrick,https://www.youtube.com/watch?v=Als8n-9DN2E,01:17.000,01:19.000
Anna Kendrick,https://www.youtube.com/watch?v=Als8n-9DN2E,02:16.000,02:22.000
Anna Kendrick,https://www.youtube.com/watch?v=Als8n-9DN2E,03:33.000,03:39.000
Anna Kendrick,https://www.youtube.com/watch?v=Als8n-9DN2E,03:58.000,04:04.000
Anna Kendrick,https://www.youtube.com/watch?v=660uoxQwVPU,00:27.000,00:37.000
Anna Kendrick,https://www.youtube.com/watch?v=660uoxQwVPU,00:39.000,00:49.000
Anna Kendrick,https://www.youtube.com/watch?v=660uoxQwVPU,01:03.000,01:09.000
Anna Kendrick,https://www.youtube.com/watch?v=660uoxQwVPU,01:11.000,01:20.000
Tom Cruise,https://www.youtube.com/watch?v=tFgF1JPNR5E,00:37.000,00:42.000
Tom Cruise,https://www.youtube.com/watch?v=tFgF1JPNR5E,01:08.000,01:13.000
Tom Cruise,https://www.youtube.com/watch?v=tFgF1JPNR5E,01:14.000,01:18.000
Tom Cruise,https://www.youtube.com/watch?v=tFgF1JPNR5E,01:31.000,01:38.000
Tom Cruise,https://www.youtube.com/watch?v=Si4-VzckyWg,01:03.000,01:07.000
Tom Cruise,https://www.youtube.com/watch?v=6JkAGrYPTs0,00:51.000,00:59.000
Tom Cruise,https://www.youtube.com/watch?v=6JkAGrYPTs0,01:04.000,01:15.000
Tom Cruise,https://www.youtube.com/watch?v=6JkAGrYPTs0,01:31.000,01:47.000
Tom Cruise,https://www.youtube.com/watch?v=wb0KYB3Z8Ws,00:31.000,00:38.000
Tom Cruise,https://www.youtube.com/watch?v=wb0KYB3Z8Ws,00:39.000,00:48.000
Tom Cruise,https://www.youtube.com/watch?v=wb0KYB3Z8Ws,00:56.000,01:04.000
Nicole Kidman,https://www.youtube.com/watch?v=o8P4UYqgSMo,00:27.000,00:35.000
Nicole Kidman,https://www.youtube.com/watch?v=o8P4UYqgSMo,00:35.000,00:41.000
Nicole Kidman,https://www.youtube.com/watch?v=o8P4UYqgSMo,00:42.000,00:54.000
Nicole Kidman,https://www.youtube.com/watch?v=o8P4UYqgSMo,01:04.000,01:11.000
Nicole Kidman,https://www.youtube.com/watch?v=BsHx2dclkLE,00:12.000,00:16.000
Nicole Kidman,https://www.youtube.com/watch?v=BsHx2dclkLE,01:42.000,01:46.000
Nicole Kidman,https://www.youtube.com/watch?v=BsHx2dclkLE,01:46.000,01:56.000
Nicole Kidman,https://www.youtube.com/watch?v=d5DHVHXTuxg,01:43.000,01:46.000
Nicole Kidman,https://www.youtube.com/watch?v=XXXUDTX-RQ4,00:09.000,00:17.000
Nicole Kidman,https://www.youtube.com/watch?v=XXXUDTX-RQ4,00:40.000,00:43.000
Nicole Kidman,https://www.youtube.com/watch?v=XXXUDTX-RQ4,00:49.000,00:59.000
Cate Blanchett,https://www.youtube.com/watch?v=squYKgRWZN0,01:26.000,01:30.000
Cate Blanchett,https://www.youtube.com/watch?v=squYKgRWZN0,01:52.000,01:57.000
Cate Blanchett,https://www.youtube.com/watch?v=squYKgRWZN0,02:31.000,02:40.000
Cate Blanchett,https://www.youtube.com/watch?v=Oq5ftqmzmZs,01:11.000,01:19.000
Cate Blanchett,https://www.youtube.com/watch?v=Oq5ftqmzmZs,02:57.000,03:05.000
Cate Blanchett,https://www.youtube.com/watch?v=Oq5ftqmzmZs,03:50.000,04:02.000
Cate Blanchett,https://www.youtube.com/watch?v=Oq5ftqmzmZs,04:03.000,04:12.000
Cate Blanchett,https://www.youtube.com/watch?v=Oq5ftqmzmZs,05:18.000,05:24.000
Cate Blanchett,https://www.youtube.com/watch?v=zbmtdsEktBE,00:09.000,00:13.000
Cate Blanchett,https://www.youtube.com/watch?v=sLGiZwW2il0,00:24.000,00:28.000
Cate Blanchett,https://www.youtube.com/watch?v=sLGiZwW2il0,01:38.000,01:45.000
Cate Blanchett,https://www.youtube.com/watch?v=sLGiZwW2il0,01:59.000,02:05.000
Cate Blanchett,https://www.youtube.com/watch?v=sLGiZwW2il0,02:15.000,02:22.000
Jennifer Lawrence,https://www.youtube.com/watch?v=Gh2TDgitYcQ,06:09.000,06:14.000
Jennifer Lawrence,https://www.youtube.com/watch?v=Gh2TDgitYcQ,06:20.000,06:30.000
Jennifer Lawrence,https://www.youtube.com/watch?v=Gh2TDgitYcQ,06:31.000,06:37.000
Jennifer Lawrence,https://www.youtube.com/watch?v=Gh2TDgitYcQ,06:48.000,06:53.000
Jennifer Lawrence,https://www.youtube.com/watch?v=YdmzElDO2ic,03:02.000,03:09.000
Jennifer Lawrence,https://www.youtube.com/watch?v=YdmzElDO2ic,03:16.000,03:23.000
Jennifer Lawrence,https://www.youtube.com/watch?v=YdmzElDO2ic,03:29.000,03:35.000
Jennifer Lawrence,https://www.youtube.com/watch?v=YdmzElDO2ic,03:41.000,03:45.000
Jennifer Lawrence,https://www.youtube.com/watch?v=V9_q-4lBI9s,00:05.000,00:13.000
Jennifer Lawrence,https://www.youtube.com/watch?v=V9_q-4lBI9s,00:23.000,00:30.000
Jennifer Lawrence,https://www.youtube.com/watch?v=V9_q-4lBI9s,00:52.000,00:59.000
Rihanna,https://www.youtube.com/watch?v=CTKg3WDTb3U,00:27.000,00:34.000
Rihanna,https://www.youtube.com/watch?v=CTKg3WDTb3U,02:15.000,02:24.000
Rihanna,https://www.youtube.com/watch?v=CTKg3WDTb3U,03:13.000,03:17.000
Rihanna,https://www.youtube.com/watch?v=CTKg3WDTb3U,04:24.000,04:37.000
Rihanna,https://www.youtube.com/watch?v=h_E2AhbbwdY,00:23.000,00:29.000
Rihanna,https://www.youtube.com/watch?v=h_E2AhbbwdY,00:47.000,00:55.000
Rihanna,https://www.youtube.com/watch?v=h_E2AhbbwdY,00:55.000,01:05.000
Rihanna,https://www.youtube.com/watch?v=kDCyTCfd4xM,00:04.000,00:10.000
Rihanna,https://www.youtube.com/watch?v=kDCyTCfd4xM,00:56.000,01:08.000
Rihanna,https://www.youtube.com/watch?v=kDCyTCfd4xM,01:33.000,01:38.000
Rihanna,https://www.youtube.com/watch?v=kDCyTCfd4xM,06:43.000,06:46.000
Rihanna,https://www.youtube.com/watch?v=kDCyTCfd4xM,07:32.000,07:35.000
Anthony Hopkins,https://www.youtube.com/watch?v=po_Bii78Wvw,00:20.000,00:28.000
Anthony Hopkins,https://www.youtube.com/watch?v=po_Bii78Wvw,00:42.000,00:50.000
Anthony Hopkins,https://www.youtube.com/watch?v=po_Bii78Wvw,01:05.000,01:15.000
Anthony Hopkins,https://www.youtube.com/watch?v=po_Bii78Wvw,01:27.000,01:35.000
Anthony Hopkins,https://www.youtube.com/watch?v=GGR-9pxmcts,00:03.000,00:11.000
Anthony Hopkins,https://www.youtube.com/watch?v=GGR-9pxmcts,00:20.000,00:29.000
Anthony Hopkins,https://www.youtube.com/watch?v=GGR-9pxmcts,00:35.000,00:44.000
Anthony Hopkins,https://www.youtube.com/watch?v=IZNMtCXmgBI,01:40.000,01:45.000
Anthony Hopkins,https://www.youtube.com/watch?v=IZNMtCXmgBI,01:51.000,01:58.000
Anthony Hopkins,https://www.youtube.com/watch?v=IZNMtCXmgBI,00:27.000,00:36.000
Anthony Hopkins,https://www.youtube.com/watch?v=IZNMtCXmgBI,00:43.000,00:52.000
Bill Gates,https://www.youtube.com/watch?v=f5NJQiY9AuY,01:38.000,01:46.000
Bill Gates,https://www.youtube.com/watch?v=f5NJQiY9AuY,02:00.000,02:06.000
Bill Gates,https://www.youtube.com/watch?v=f5NJQiY9AuY,02:38.000,02:46.000
Bill Gates,https://www.youtube.com/watch?v=f5NJQiY9AuY,02:48.000,02:54.000
Bill Gates,https://www.youtube.com/watch?v=JaF-fq2Zn7I,00:16.000,00:21.000
Bill Gates,https://www.youtube.com/watch?v=JaF-fq2Zn7I,00:53.000,00:59.000
Bill Gates,https://www.youtube.com/watch?v=JaF-fq2Zn7I,01:13.000,01:18.000
Bill Gates,https://www.youtube.com/watch?v=bNKdlnoAqIs,01:10.000,01:21.000
Bill Gates,https://www.youtube.com/watch?v=bNKdlnoAqIs,02:35.000,02:51.000
Bill Gates,https://www.youtube.com/watch?v=bNKdlnoAqIs,03:00.000,03:12.000
Edward Snowden,https://www.youtube.com/watch?v=0hLjuVyIIrs,00:26.000,00:41.000
Edward Snowden,https://www.youtube.com/watch?v=0hLjuVyIIrs,01:05.000,01:19.000
Edward Snowden,https://www.youtube.com/watch?v=0hLjuVyIIrs,01:23.000,01:29.000
Edward Snowden,https://www.youtube.com/watch?v=0hLjuVyIIrs,01:29.000,01:46.000
Edward Snowden,https://www.youtube.com/watch?v=0hLjuVyIIrs,01:48.000,01:57.000
Edward Snowden,https://www.youtube.com/watch?v=zQUEbptcN2I,00:03.000,00:14.000
Edward Snowden,https://www.youtube.com/watch?v=zQUEbptcN2I,00:14.000,00:23.000
Edward Snowden,https://www.youtube.com/watch?v=zQUEbptcN2I,02:01.000,02:07.000
Edward Snowden,https://www.youtube.com/watch?v=zQUEbptcN2I,02:08.000,02:21.000
Edward Snowden,https://www.youtube.com/watch?v=43KFAh3hMoQ,00:14.000,00:22.000
Edward Snowden,https://www.youtube.com/watch?v=43KFAh3hMoQ,00:28.000,00:37.000
Edward Snowden,https://www.youtube.com/watch?v=43KFAh3hMoQ,00:42.000,00:52.000
